Dataset,kernel_length,Repeat,Accuracy
ACSF1,3,1,0.89
ACSF1,3,2,0.88
ACSF1,3,3,0.88
ACSF1,3,4,0.88
ACSF1,3,5,0.88
ACSF1,4,1,0.87
ACSF1,4,2,0.88
ACSF1,4,3,0.91
ACSF1,4,4,0.89
ACSF1,4,5,0.9
ACSF1,5,1,0.87
ACSF1,5,2,0.88
ACSF1,5,3,0.88
ACSF1,5,4,0.86
ACSF1,5,5,0.87
ACSF1,6,1,0.88
ACSF1,6,2,0.9
ACSF1,6,3,0.89
ACSF1,6,4,0.89
ACSF1,6,5,0.91
ACSF1,7,1,0.86
ACSF1,7,2,0.89
ACSF1,7,3,0.88
ACSF1,7,4,0.89
ACSF1,7,5,0.87
ACSF1,8,1,0.87
ACSF1,8,2,0.87
ACSF1,8,3,0.91
ACSF1,8,4,0.88
ACSF1,8,5,0.88
ACSF1,9,1,0.88
ACSF1,9,2,0.87
ACSF1,9,3,0.87
ACSF1,9,4,0.87
ACSF1,9,5,0.88
ACSF1,10,1,0.87
ACSF1,10,2,0.89
ACSF1,10,3,0.89
ACSF1,10,4,0.89
ACSF1,10,5,0.88
ACSF1,11,1,0.87
ACSF1,11,2,0.9
ACSF1,11,3,0.88
ACSF1,11,4,0.89
ACSF1,11,5,0.9
ACSF1,12,1,0.87
ACSF1,12,2,0.89
ACSF1,12,3,0.9
ACSF1,12,4,0.88
ACSF1,12,5,0.87
ACSF1,13,1,0.87
ACSF1,13,2,0.89
ACSF1,13,3,0.89
ACSF1,13,4,0.9
ACSF1,13,5,0.87
ACSF1,14,1,0.87
ACSF1,14,2,0.87
ACSF1,14,3,0.84
ACSF1,14,4,0.9
ACSF1,14,5,0.88
ACSF1,15,1,0.87
ACSF1,15,2,0.87
ACSF1,15,3,0.86
ACSF1,15,4,0.89
ACSF1,15,5,0.85
Adiac,3,1,0.7647058823529411
Adiac,3,2,0.7595907928388747
Adiac,3,3,0.7851662404092071
Adiac,3,4,0.7672634271099744
Adiac,3,5,0.7672634271099744
Adiac,4,1,0.7774936061381074
Adiac,4,2,0.7774936061381074
Adiac,4,3,0.782608695652174
Adiac,4,4,0.7800511508951407
Adiac,4,5,0.7723785166240409
Adiac,5,1,0.7928388746803069
Adiac,5,2,0.7953964194373402
Adiac,5,3,0.782608695652174
Adiac,5,4,0.7953964194373402
Adiac,5,5,0.7902813299232737
Adiac,6,1,0.7774936061381074
Adiac,6,2,0.7877237851662404
Adiac,6,3,0.7877237851662404
Adiac,6,4,0.7851662404092071
Adiac,6,5,0.7851662404092071
Adiac,7,1,0.7851662404092071
Adiac,7,2,0.7851662404092071
Adiac,7,3,0.782608695652174
Adiac,7,4,0.7928388746803069
Adiac,7,5,0.7800511508951407
Adiac,8,1,0.7851662404092071
Adiac,8,2,0.7800511508951407
Adiac,8,3,0.7774936061381074
Adiac,8,4,0.7851662404092071
Adiac,8,5,0.7851662404092071
Adiac,9,1,0.8005115089514067
Adiac,9,2,0.7953964194373402
Adiac,9,3,0.7877237851662404
Adiac,9,4,0.7774936061381074
Adiac,9,5,0.7851662404092071
Adiac,10,1,0.7953964194373402
Adiac,10,2,0.7928388746803069
Adiac,10,3,0.782608695652174
Adiac,10,4,0.7851662404092071
Adiac,10,5,0.7851662404092071
Adiac,11,1,0.7979539641943734
Adiac,11,2,0.7902813299232737
Adiac,11,3,0.782608695652174
Adiac,11,4,0.7902813299232737
Adiac,11,5,0.782608695652174
Adiac,12,1,0.7749360613810742
Adiac,12,2,0.7800511508951407
Adiac,12,3,0.7877237851662404
Adiac,12,4,0.7877237851662404
Adiac,12,5,0.782608695652174
Adiac,13,1,0.7877237851662404
Adiac,13,2,0.7877237851662404
Adiac,13,3,0.7851662404092071
Adiac,13,4,0.7672634271099744
Adiac,13,5,0.782608695652174
Adiac,14,1,0.7800511508951407
Adiac,14,2,0.7851662404092071
Adiac,14,3,0.7774936061381074
Adiac,14,4,0.7723785166240409
Adiac,14,5,0.7723785166240409
Adiac,15,1,0.7928388746803069
Adiac,15,2,0.7877237851662404
Adiac,15,3,0.7953964194373402
Adiac,15,4,0.7851662404092071
Adiac,15,5,0.7774936061381074
ArrowHead,3,1,0.7942857142857143
ArrowHead,3,2,0.7942857142857143
ArrowHead,3,3,0.8057142857142857
ArrowHead,3,4,0.8057142857142857
ArrowHead,3,5,0.7885714285714286
ArrowHead,4,1,0.7942857142857143
ArrowHead,4,2,0.7942857142857143
ArrowHead,4,3,0.7942857142857143
ArrowHead,4,4,0.7885714285714286
ArrowHead,4,5,0.7828571428571428
ArrowHead,5,1,0.8
ArrowHead,5,2,0.8
ArrowHead,5,3,0.8057142857142857
ArrowHead,5,4,0.7942857142857143
ArrowHead,5,5,0.8057142857142857
ArrowHead,6,1,0.7885714285714286
ArrowHead,6,2,0.7885714285714286
ArrowHead,6,3,0.8057142857142857
ArrowHead,6,4,0.7828571428571428
ArrowHead,6,5,0.7828571428571428
ArrowHead,7,1,0.8
ArrowHead,7,2,0.8
ArrowHead,7,3,0.8
ArrowHead,7,4,0.8057142857142857
ArrowHead,7,5,0.8057142857142857
ArrowHead,8,1,0.7942857142857143
ArrowHead,8,2,0.7942857142857143
ArrowHead,8,3,0.7942857142857143
ArrowHead,8,4,0.8114285714285714
ArrowHead,8,5,0.7942857142857143
ArrowHead,9,1,0.8057142857142857
ArrowHead,9,2,0.8228571428571428
ArrowHead,9,3,0.8228571428571428
