Dataset,Max GI,Median GI,Min GI,Max S,Median S,Min S,Mean S,Max PPV,Median PPV,Min PPV,Mean PPV
ACSF1,0.6344855899875447,0.34847275875128214,0.04443158075496827,0.3923630136986298,0.0038613013698629572,-0.3415924657534246,0.061734178082191775,0.8381849315068494,0.5,0.25,0.5308670890410959
Adiac,0.5865669196682973,0.19197831986049924,0.0401844785891334,0.6261466233297217,-0.014355362946912364,-0.48396533044420365,-0.030676778620440586,0.9295774647887324,0.4788732394366197,0.14788732394366197,0.4846616106897797
ArrowHead,0.444166270024962,0.2713131674871181,0.07317411144073281,0.3836373687119954,0.008015478164732026,-0.35185185185185186,0.02689552238805972,0.7910447761194029,0.5074626865671642,0.208955223880597,0.5134477611940298
BME,0.7699193521838844,0.2710398280899895,0.044339831625022946,0.08141025641025634,0.010256410256410109,-0.05320512820512835,0.004451282051282044,0.7596153846153846,0.5,0.23076923076923078,0.502225641025641
Beef,0.6360145001023859,0.4710079171872739,0.35705292320593157,0.2822695035460996,0.037056737588652466,-0.08421985815602828,0.055383687943262386,0.7127659574468085,0.5186170212765957,0.35106382978723405,0.5276918439716312
BeetleFly,0.5315865036828857,0.2577559822354612,0.1491288076221888,0.12024390243902427,-0.0019512195121951237,-0.1275609756097561,0.0005999999999999996,0.7073170731707317,0.5,0.32439024390243903,0.5003
BirdChicken,0.518614701495187,0.30346807323521985,0.1755931329434869,0.2524390243902439,0.006829268292682933,-0.17243902439024372,0.0009434146341463628,0.748780487804878,0.5,0.2634146341463415,0.5004717073170732
CBF,0.47852243292383956,0.361779181379021,0.076403031289804,0.1961538461538459,-0.011217948717948734,-0.13589743589743575,-0.013451282051282053,0.8365384615384616,0.5,0.0,0.493274358974359
Car,0.6467430570869518,0.31317454845881354,0.1260804246932743,0.39186465082793376,-0.003707703383729277,-0.2932325413966883,0.015162562994960372,0.7645788336933045,0.5010799136069114,0.28509719222462204,0.5075812814974802
Chinatown,0.49861672769902327,0.13477988348658593,0.01027149113275978,1.0,0.14500000000000002,-1.0,0.13182,1.0,0.55,0.0,0.56591
ChlorineConcentration,0.535342987150025,0.33187586302020156,0.19519334088201104,0.5919652273962097,-0.013854709322765169,-0.5279491194988655,0.028717568474543768,0.9477611940298507,0.4925373134328358,0.0,0.514358784237272
CinCECGTorso,0.8461447394847491,0.7520973922199929,0.41429652876613937,0.06466108149276462,-0.003217821782178276,-0.025019040365575007,0.0018019801980198005,0.7044935262757045,0.49961919268849964,0.26656511805026656,0.5009009900990099
Coffee,0.5599252978484949,0.3832665874769575,0.2041511636642749,0.29968944099378847,-0.015683229813664656,-0.2543478260869565,-0.005434782608695663,0.6782608695652174,0.49130434782608695,0.33043478260869563,0.49728260869565216
Computers,0.7968819876778407,0.703399151154954,0.5808050189019317,0.03419444444444464,-0.22381944444444446,-0.4276527777777779,-0.20456488888888888,0.8871527777777778,0.4513888888888889,0.0,0.39771755555555555
CricketX,0.6088807095432506,0.44894312397048064,0.25129671849595886,0.06628205128205145,-0.0034081196581197126,-0.11551282051282041,-0.023853076923076935,0.9041666666666667,0.49166666666666664,0.13333333333333333,0.4880734615384616
CricketY,0.5886939527727604,0.4749244208941773,0.29228733909591254,0.13602564102564085,-0.005982905982906017,-0.062371794871795005,0.00536658119658119,0.8708333333333333,0.5,0.15833333333333333,0.5026832905982906
CricketZ,0.6173795253890084,0.4560493993991431,0.24582101268758716,0.06472222222222235,-0.0025747863247864156,-0.1266452991452991,-0.025661452991453,0.8958333333333334,0.49166666666666664,0.12083333333333333,0.48716927350427347
Crop,0.478616038582523,0.2533446891947111,0.020198649957143995,0.991907894736842,0.04873538011695899,-0.9928070175438597,0.19565412280701752,1.0,0.5789473684210527,0.0,0.5978270614035087
DiatomSizeReduction,0.590406774859686,0.2751935268188698,0.06490296626607238,0.5676895306859207,-0.005866425992779756,-0.47653429602888087,-0.0073826714801443994,0.8483754512635379,0.4981949458483754,0.19855595667870035,0.49630866425992787
DistalPhalanxOutlineAgeGroup,0.6176238421561175,0.2601578848744291,0.02277611436600845,0.821796875,0.09855468750000007,-0.31125,0.083703125,0.96875,0.546875,0.234375,0.5418515625
DistalPhalanxOutlineCorrect,0.5961313451322491,0.2600123422642778,0.02280231089613237,0.8217708333333333,0.0998958333333334,-0.2947916666666667,0.08529749999999998,0.984375,0.546875,0.21875,0.54264875
DistalPhalanxTW,0.6173224432495426,0.25958858357248094,0.022767801826286693,0.8216406249999999,0.0986328125,-0.31296875,0.08404312500000002,0.96875,0.546875,0.234375,0.5420215625
DodgerLoopDay,,,,0.35775862068965525,-0.14074933687002655,-0.4179929266136163,-0.09881786030061891,0.8663793103448276,0.47413793103448276,0.0,0.45059106984969055
DodgerLoopGame,,,,0.3374999999999999,-0.16163793103448282,-0.4215517241379312,-0.11057068965517242,0.8405172413793104,0.47413793103448276,0.0,0.4447146551724139
