Dataset,Max_Gini_Index,Min_Gini_Index,Mean_Gini_Index,Median_Gini_Index,max_PPV,min_PPV,mean_PPV,median_PPV
HandOutlines,0.7964831774962351,0.06879254341266416,0.40803864110292304,0.4486366067288249,0.6837252189949286,0.3135085292761641,0.5070770262793914,0.5020746887966805
Haptics,0.8239584265670128,0.03400257007196894,0.38118642114369533,0.3825382325724433,0.6750572082379863,0.2128146453089245,0.4801677419354838,0.49084668192219677
Herring,0.6126695940507619,0.08738524317237284,0.36978035048851204,0.37759867116868906,0.7195121951219512,0.2658536585365854,0.47527141768292686,0.4878048780487805
HouseTwenty,0.9327290876668954,0.17903899248542876,0.6592183799233333,0.662784301856651,0.723125,0.26125,0.499287234375,0.501875
InlineSkate,0.8018579748219042,0.21616493199141873,0.49728431169119075,0.4916762868867815,0.7768924302788844,0.17065073041168657,0.5040822310756972,0.5
InsectEPGRegularTrain,0.8546819883170518,0.11003856616375662,0.5526800064086487,0.5714304581459151,1.0,0.02286902286902287,0.497313459861847,0.501039501039501
InsectEPGSmallTrain,0.8625852903513822,0.11003856616375662,0.5726076538264251,0.5972885248970441,1.0,0.014553014553014554,0.4982767518649872,0.501039501039501
InsectWingbeatSound,0.9267412422242526,0.058039887080116204,0.48127645414761316,0.4761190540535953,1.0,0.05339805825242718,0.4942650706090026,0.5
ItalyPowerDemand,0.6494549141136428,0.0010929974138328413,0.17241301813148915,0.1483778921434324,1.0,0.0,0.43350597014925374,0.5
LargeKitchenAppliances,0.9982638888888888,0.0,0.814038463339742,0.8390828706849189,0.890625,0.0,0.3246427592592593,0.3298611111111111
Lightning2,0.9093071748621891,0.23008494336188412,0.6437247238950854,0.6536659590906528,0.7240704500978473,0.03131115459882583,0.4661227658186562,0.48532289628180036
Lightning7,0.9372599507746264,0.12426205925688583,0.5463102157882207,0.5397276249909768,0.8171206225680934,0.0,0.4634087270705948,0.48638132295719844
Mallat,0.9821877290255127,0.13362392216175767,0.5025779256803323,0.4718932763708061,0.6548780487804878,0.32682926829268294,0.4954767849223948,0.49878048780487805
Meat,0.7901507050120058,0.19060682173914056,0.5645450250151589,0.5772464908179913,0.7666666666666667,0.19444444444444445,0.47263055555555555,0.4888888888888889
MedicalImages,0.9446870197305319,0.008021286755495183,0.39542646444239254,0.36940403817764994,1.0,0.0,0.5109685039370079,0.5061728395061729
MelbournePedestrian,,,,,1.0,0.0,0.5801757956448911,0.55
MiddlePhalanxOutlineAgeGroup,0.7943291148668208,0.014163041876202653,0.26213313281116724,0.26470967073070695,1.0,0.1875,0.547953203125,0.546875
MiddlePhalanxOutlineCorrect,0.8158127626611126,0.014163041876202653,0.2622263247746727,0.26517845442893273,1.0,0.1875,0.547790390625,0.546875
MiddlePhalanxTW,0.7943291148668208,0.014163041876202653,0.2604734881833378,0.2640638241483943,1.0,0.1875,0.5478993969298246,0.546875
MixedShapesRegularTrain,0.8516258703690339,0.0867381913021732,0.42076578071514914,0.4238545220433182,0.9073170731707317,0.0951219512195122,0.49102694146341475,0.4975609756097561
MixedShapesSmallTrain,0.7936268416553505,0.08756718600983215,0.4165914663220945,0.420787345545972,0.9073170731707317,0.0951219512195122,0.4907916341463415,0.49634146341463414
MoteStrain,0.896760536834982,0.023750958879576456,0.2875492794182832,0.28854258397392846,1.0,0.22058823529411764,0.5170926470588235,0.5
NonInvasiveFetalECGThorax1,0.7560199911799474,0.12399754645353522,0.4589378894684246,0.4607731305608764,0.7533333333333333,0.22333333333333333,0.47306033425925964,0.49166666666666664
NonInvasiveFetalECGThorax2,0.7759016480091514,0.12974456750226238,0.47488296923760526,0.47851949483194894,0.7183333333333334,0.22666666666666666,0.4721846564814815,0.49166666666666664
OSULeaf,0.6498334545160129,0.022486370974317382,0.3201018928908281,0.3268623959179384,0.7959183673469388,0.19533527696793002,0.49793992711370255,0.5014577259475219
OliveOil,0.8472635091645251,0.2521483615552462,0.5244630510501149,0.5156044703595178,0.7324561403508771,0.24780701754385964,0.4816285087719299,0.4934210526315789
PhalangesOutlinesCorrect,0.8158127626611126,0.012724597978349017,0.26320772407848086,0.26755656888426466,1.0,0.1875,0.5457518402777778,0.546875
Phoneme,0.8835530866182988,0.011709824765674393,0.4157851334013201,0.41068556090747066,0.8317073170731707,0.22317073170731708,0.5004954695691817,0.5
PigAirwayPressure,0.8132361184382316,0.146910775836969,0.6062420655730065,0.6362141952935167,0.72,0.2025,0.4925047536057692,0.498125
PigArtPressure,0.8275943701393746,0.0361764317517399,0.36402570112079197,0.3623175032697832,0.784375,0.253125,0.5073966646634614,0.50125
PigCVP,0.8008541510860068,0.0548170741186742,0.3482659083352078,0.3512164545582745,0.6725,0.311875,0.49680088942307704,0.49875
Plane,0.6809571982849831,0.007519094118672687,0.268383784428321,0.2863823097787039,0.8793103448275862,0.0,0.4584050082101806,0.4827586206896552
PowerCons,0.8095589943404343,0.009365354336558496,0.34861040577448105,0.34534224889456,1.0,0.0,0.49735330459770105,0.5
ProximalPhalanxOutlineAgeGroup,0.784579004201928,0.017291794790127324,0.26361457969841207,0.2666105413720168,1.0,0.1875,0.544823984375,0.546875
ProximalPhalanxOutlineCorrect,0.7930500960345126,0.017013785826430317,0.2652453622863053,0.2682418740087264,1.0,0.1875,0.5446125260416667,0.546875
ProximalPhalanxTW,0.784579004201928,0.016758526731179058,0.26429584161253,0.2671724582520908,1.0,0.1875,0.544707421875,0.546875
RefrigerationDevices,0.9597262966347524,0.005186630201021281,0.37706960323017635,0.36757571115765686,0.8333333333333334,0.06770833333333333,0.4883854444444444,0.4982638888888889
Rock,0.8893536927037924,0.28146132827606174,0.5866087416207112,0.5907402792818468,0.7956942003514939,0.3510544815465729,0.5155499780316345,0.5030755711775043
ScreenType,0.9982638888888888,0.0,0.6569760277901081,0.6713062482112935,0.8923611111111112,0.0,0.4004826805555556,0.453125
SemgHandGenderCh2,0.7902030446373096,0.19139800798491924,0.45385039804671773,0.4468484719740655,0.9183333333333333,0.30333333333333334,0.5075965416666668,0.5008333333333334
SemgHandMovementCh2,0.7902030446373096,0.18554402302636797,0.44848189279640505,0.4431619166723425,0.9183333333333333,0.30333333333333334,0.5081428944444446,0.5008333333333334
SemgHandSubjectCh2,0.7902030446373096,0.18554402302636797,0.4470850738594706,0.4417591010834506,0.9183333333333333,0.30333333333333334,0.5080199759259258,0.5008333333333334
ShapeletSim,0.6078740918609453,0.12666598146913333,0.3498167585604737,0.35889613169303985,0.7075,0.245,0.49939350000000005,0.5
ShapesAll,0.9212623293812551,0.035481064946000895,0.35511883683312734,0.35605035869113055,0.9682926829268292,0.046341463414634146,0.49444521544715436,0.4975609756097561
SmallKitchenAppliances,0.998244152221914,0.0,0.746748764101336,0.7902332144909245,0.859375,0.0,0.36208336574074085,0.4149305555555556
SmoothSubspace,0.6328787613335356,0.0011141091780285661,0.13470736875483652,0.054251169737926874,1.0,0.0,0.6711415384615383,0.6153846153846154
SonyAIBORobotSurface1,0.6495328710733727,0.02050317316844863,0.24651774617928232,0.2724656444779561,1.0,0.0,0.48043482142857147,0.48214285714285715
SonyAIBORobotSurface2,0.6826919270490531,0.01522914149824961,0.26582330264019166,0.28409617178908075,1.0,0.0,0.5072180293501047,0.5094339622641509
